# temp[C] pressure[mbar] humidity[%] freq[GHz] alt[deg] ref["]
-20 548 0.9 150 60 20.7556
-20 548 1 150 35 51.4629
-20 548 1 150 36 49.605
-20 548 1 150 37 47.8335
-20 548 1 150 38 46.1415
-20 548 1 150 39 44.5229
-20 548 1 150 40 42.972
-20 548 1 150 41 41.484
-20 548 1 150 42 40.054
-20 548 1 150 43 38.6781
-20 548 1 150 44 37.3525
-20 548 1 150 45 36.0736
-20 548 1 150 46 34.8383
-20 548 1 150 47 33.6437
-20 548 1 150 48 32.4872
-20 548 1 150 49 31.3662
-20 548 1 150 50 30.2786
-20 548 1 150 51 29.2223
-20 548 1 150 52 28.1952
-20 548 1 150 53 27.1956
-20 548 1 150 54 26.2219
-20 548 1 150 55 25.2724
-20 548 1 150 56 24.3457
-20 548 1 150 57 23.4405
-20 548 1 150 58 22.5556
-20 548 1 150 59 21.6896
-20 548 1 150 60 20.8415
-20 548 1.1 150 35 51.4629
-20 548 1.1 150 36 49.605
-20 548 1.1 150 37 47.8335
-20 548 1.1 150 38 46.1415
-20 548 1.1 150 39 44.5229
-20 548 1.1 150 40 42.972
-20 548 1.1 150 41 41.484
-20 548 1.1 150 42 40.054
-20 548 1.1 150 43 38.6781
-20 548 1.1 150 44 37.3525
-20 548 1.1 150 45 36.0736
-20 548 1.1 150 46 34.8383
-20 548 1.1 150 47 33.6437
-20 548 1.1 150 48 32.4872
-20 548 1.1 150 49 31.3662
-20 548 1.1 150 50 30.2786
-20 548 1.1 150 51 29.2223
-20 548 1.1 150 52 28.1952
-20 548 1.1 150 53 27.1956
-20 548 1.1 150 54 26.2219
-20 548 1.1 150 55 25.2724
-20 548 1.1 150 56 24.3457
-20 548 1.1 150 57 23.4405
-20 548 1.1 150 58 22.5556
-20 548 1.1 150 59 21.6896
-20 548 1.1 150 60 20.8415
-20 549 0 150 35 49.4229
-20 549 0 150 36 47.6388
-20 549 0 150 37 45.9377
-20 549 0 150 38 44.313
-20 549 0 150 39 42.7587
-20 549 0 150 40 41.2695
-20 549 0 150 41 39.8405
-20 549 0 150 42 38.4673
-20 549 0 150 43 37.146
-20 549 0 150 44 35.873
-20 549 0 150 45 34.6448
-20 549 0 150 46 33.4585
-20 549 0 150 47 32.3113
-20 549 0 150 48 31.2007
-20 549 0 150 49 30.1242
-20 549 0 150 50 29.0797
-20 549 0 150 51 28.0652
-20 549 0 150 52 27.0788
-20 549 0 150 53 26.1189
-20 549 0 150 54 25.1837
-20 549 0 150 55 24.2718
-20 549 0 150 56 23.3819
-20 549 0 150 57 22.5126
-20 549 0 150 58 21.6627
-20 549 0 150 59 20.831
-20 549 0 150 60 20.0165
-20 549 0.1 150 35 49.6363
-20 549 0.1 150 36 47.8445
-20 549 0.1 150 37 46.1361
-20 549 0.1 150 38 44.5043
-20 549 0.1 150 39 42.9433
-20 549 0.1 150 40 41.4476
-20 549 0.1 150 41 40.0124
-20 549 0.1 150 42 38.6333
-20 549 0.1 150 43 37.3063
-20 549 0.1 150 44 36.0278
-20 549 0.1 150 45 34.7943
-20 549 0.1 150 46 33.6029
-20 549 0.1 150 47 32.4507
-20 549 0.1 150 48 31.3353
-20 549 0.1 150 49 30.2541
-20 549 0.1 150 50 29.2051
-20 549 0.1 150 51 28.1863
-20 549 0.1 150 52 27.1956
-20 549 0.1 150 53 26.2315
-20 549 0.1 150 54 25.2923
-20 549 0.1 150 55 24.3765
-20 549 0.1 150 56 23.4828
-20 549 0.1 150 57 22.6097
-20 549 0.1 150 58 21.7561
-20 549 0.1 150 59 20.9208
-20 549 0.1 150 60 20.1029
-20 549 0.2 150 35 49.8497
-20 549 0.2 150 36 48.0502
-20 549 0.2 150 37 46.3343
-20 549 0.2 150 38 44.6955
-20 549 0.2 150 39 43.1278
-20 549 0.2 150 40 41.6257
-20 549 0.2 150 41 40.1843
-20 549 0.2 150 42 38.7993
-20 549 0.2 150 43 37.4666
-20 549 0.2 150 44 36.1825
-20 549 0.2 150 45 34.9437
-20 549 0.2 150 46 33.7472
-20 549 0.2 150 47 32.5901
-20 549 0.2 150 48 31.4698
-20 549 0.2 150 49 30.384
-20 549 0.2 150 50 29.3305
-20 549 0.2 150 51 28.3073
-20 549 0.2 150 52 27.3124
-20 549 0.2 150 53 26.3441
-20 549 0.2 150 54 25.4009
-20 549 0.2 150 55 24.4812
-20 549 0.2 150 56 23.5836
-20 549 0.2 150 57 22.7067
-20 549 0.2 150 58 21.8495
-20 549 0.2 150 59 21.0106
-20 549 0.2 150 60 20.1891
-20 549 0.3 150 35 50.0629
-20 549 0.3 150 36 48.2557
-20 549 0.3 150 37 46.5325
-20 549 0.3 150 38 44.8867
-20 549 0.3 150 39 43.3122
-20 549 0.3 150 40 41.8037
-20 549 0.3 150 41 40.3561
-20 549 0.3 150 42 38.9652
-20 549 0.3 150 43 37.6267
-20 549 0.3 150 44 36.3372
-20 549 0.3 150 45 35.0931
-20 549 0.3 150 46 33.8914
-20 549 0.3 150 47 32.7294
-20 549 0.3 150 48 31.6043
-20 549 0.3 150 49 30.5139
-20 549 0.3 150 50 29.4559
-20 549 0.3 150 51 28.4282
-20 549 0.3 150 52 27.4291
-20 549 0.3 150 53 26.4567
-20 549 0.3 150 54 25.5094
-20 549 0.3 150 55 24.5858
-20 549 0.3 150 56 23.6843
-20 549 0.3 150 57 22.8037
-20 549 0.3 150 58 21.9428
-20 549 0.3 150 59 21.1004
-20 549 0.3 150 60 20.2754
-20 549 0.4 150 35 50.2761
-20 549 0.4 150 36 48.4611
-20 549 0.4 150 37 46.7306
-20 549 0.4 150 38 45.0777
-20 549 0.4 150 39 43.4965
-20 549 0.4 150 40 41.9815
-20 549 0.4 150 41 40.5278
-20 549 0.4 150 42 39.1309
-20 549 0.4 150 43 37.7868
-20 549 0.4 150 44 36.4918
-20 549 0.4 150 45 35.2424
-20 549 0.4 150 46 34.0356
-20 549 0.4 150 47 32.8686
-20 549 0.4 150 48 31.7387
-20 549 0.4 150 49 30.6437
-20 549 0.4 150 50 29.5811
-20 549 0.4 150 51 28.5491
-20 549 0.4 150 52 27.5457
-20 549 0.4 150 53 26.5692
-20 549 0.4 150 54 25.6179
-20 549 0.4 150 55 24.6903
-20 549 0.4 150 56 23.785
-20 549 0.4 150 57 22.9007
-20 549 0.4 150 58 22.0361
-20 549 0.4 150 59 21.1901
-20 549 0.4 150 60 20.3616
-20 549 0.5 150 35 50.4891
-20 549 0.5 150 36 48.6665
-20 549 0.5 150 37 46.9286
-20 549 0.5 150 38 45.2687
-20 549 0.5 150 39 43.6808
-20 549 0.5 150 40 42.1594
-20 549 0.5 150 41 40.6995
-20 549 0.5 150 42 39.2967
-20 549 0.5 150 43 37.9468
-20 549 0.5 150 44 36.6463
-20 549 0.5 150 45 35.3916
-20 549 0.5 150 46 34.1797
-20 549 0.5 150 47 33.0077
-20 549 0.5 150 48 31.8731
-20 549 0.5 150 49 30.7734
-20 549 0.5 150 50 29.7064
-20 549 0.5 150 51 28.67
-20 549 0.5 150 52 27.6623
-20 549 0.5 150 53 26.6817
-20 549 0.5 150 54 25.7263
-20 549 0.5 150 55 24.7948
-20 549 0.5 150 56 23.8857
-20 549 0.5 150 57 22.9976
-20 549 0.5 150 58 22.1294
-20 549 0.5 150 59 21.2798
-20 549 0.5 150 60 20.4478
-20 549 0.6 150 35 50.7021
-20 549 0.6 150 36 48.8717
-20 549 0.6 150 37 47.1265
-20 549 0.6 150 38 45.4596
-20 549 0.6 150 39 43.865
-20 549 0.6 150 40 42.3371
-20 549 0.6 150 41 40.8711
-20 549 0.6 150 42 39.4623
-20 549 0.6 150 43 38.1068
-20 549 0.6 150 44 36.8007
-20 549 0.6 150 45 35.5407
-20 549 0.6 150 46 34.3237
-20 549 0.6 150 47 33.1468
-20 549 0.6 150 48 32.0074
-20 549 0.6 150 49 30.9031
-20 549 0.6 150 50 29.8315
-20 549 0.6 150 51 28.7908
-20 549 0.6 150 52 27.7789
-20 549 0.6 150 53 26.7941
-20 549 0.6 150 54 25.8347
-20 549 0.6 150 55 24.8993
-20 549 0.6 150 56 23.9863
-20 549 0.6 150 57 23.0945
-20 549 0.6 150 58 22.2226
-20 549 0.6 150 59 21.3694
-20 549 0.6 150 60 20.5339
-20 549 0.7 150 35 50.9149
-20 549 0.7 150 36 49.0769
-20 549 0.7 150 37 47.3243
-20 549 0.7 150 38 45.6504
-20 549 0.7 150 39 44.049
-20 549 0.7 150 40 42.5148
-20 549 0.7 150 41 41.0425
-20 549 0.7 150 42 39.6279
-20 549 0.7 150 43 38.2666
-20 549 0.7 150 44 36.9551
-20 549 0.7 150 45 35.6898
-20 549 0.7 150 46 34.4677
-20 549 0.7 150 47 33.2859
-20 549 0.7 150 48 32.1417
-20 549 0.7 150 49 31.0327
-20 549 0.7 150 50 29.9566
-20 549 0.7 150 51 28.9115
-20 549 0.7 150 52 27.8954
-20 549 0.7 150 53 26.9064
-20 549 0.7 150 54 25.943
-20 549 0.7 150 55 25.0037
-20 549 0.7 150 56 24.0869
-20 549 0.7 150 57 23.1913
-20 549 0.7 150 58 22.3158
-20 549 0.7 150 59 21.459
-20 549 0.7 150 60 20.62
-20 549 0.8 150 35 51.1277
-20 549 0.8 150 36 49.2819
-20 549 0.8 150 37 47.522
-20 549 0.8 150 38 45.8411
-20 549 0.8 150 39 44.233
-20 549 0.8 150 40 42.6923
-20 549 0.8 150 41 41.214
-20 549 0.8 150 42 39.7934
-20 549 0.8 150 43 38.4264
-20 549 0.8 150 44 37.1094
-20 549 0.8 150 45 35.8389
-20 549 0.8 150 46 34.6116
-20 549 0.8 150 47 33.4248
-20 549 0.8 150 48 32.2758
-20 549 0.8 150 49 31.1622
-20 549 0.8 150 50 30.0817
-20 549 0.8 150 51 29.0322
-20 549 0.8 150 52 28.0118
-20 549 0.8 150 53 27.0187
-20 549 0.8 150 54 26.0513
-20 549 0.8 150 55 25.108
-20 549 0.8 150 56 24.1874
-20 549 0.8 150 57 23.2881
-20 549 0.8 150 58 22.4089
-20 549 0.8 150 59 21.5486
-20 549 0.8 150 60 20.706
-20 549 0.9 150 35 51.3404
-20 549 0.9 150 36 49.4869
-20 549 0.9 150 37 47.7196
-20 549 0.9 150 38 46.0317
-20 549 0.9 150 39 44.417
-20 549 0.9 150 40 42.8698
-20 549 0.9 150 41 41.3853
-20 549 0.9 150 42 39.9588
-20 549 0.9 150 43 38.5862
-20 549 0.9 150 44 37.2636
-20 549 0.9 150 45 35.9878
-20 549 0.9 150 46 34.7555
-20 549 0.9 150 47 33.5637
-20 549 0.9 150 48 32.41
-20 549 0.9 150 49 31.2917
-20 549 0.9 150 50 30.2067
-20 549 0.9 150 51 29.1528
-20 549 0.9 150 52 28.1282
-20 549 0.9 150 53 27.131
-20 549 0.9 150 54 26.1596
-20 549 0.9 150 55 25.2123
-20 549 0.9 150 56 24.2879
-20 549 0.9 150 57 23.3849
-20 549 0.9 150 58 22.502
-20 549 0.9 150 59 21.6381
-20 549 0.9 150 60 20.792
-20 549 1 150 35 51.553
-20 549 1 150 36 49.6918
-20 549 1 150 37 47.9172
-20 549 1 150 38 46.2222
-20 549 1 150 39 44.6008
-20 549 1 150 40 43.0472
-20 549 1 150 41 41.5565
-20 549 1 150 42 40.1241
-20 549 1 150 43 38.7458
-20 549 1 150 44 37.4178
-20 549 1 150 45 36.1367
-20 549 1 150 46 34.8992
-20 549 1 150 47 33.7026
-20 549 1 150 48 32.544
-20 549 1 150 49 31.4211
-20 549 1 150 50 30.3316
-20 549 1 150 51 29.2734
-20 549 1 150 52 28.2445
-20 549 1 150 53 27.2432
-20 549 1 150 54 26.2677
-20 549 1 150 55 25.3166
-20 549 1 150 56 24.3883
-20 549 1 150 57 23.4816
-20 549 1 150 58 22.595
-20 549 1 150 59 21.7275
-20 549 1 150 60 20.878
-20 549 1.1 150 35 51.553
-20 549 1.1 150 36 49.6918
-20 549 1.1 150 37 47.9172
-20 549 1.1 150 38 46.2222
-20 549 1.1 150 39 44.6008
-20 549 1.1 150 40 43.0472
-20 549 1.1 150 41 41.5565
-20 549 1.1 150 42 40.1241
-20 549 1.1 150 43 38.7458
-20 549 1.1 150 44 37.4178
-20 549 1.1 150 45 36.1367
-20 549 1.1 150 46 34.8992
-20 549 1.1 150 47 33.7026
-20 549 1.1 150 48 32.544
-20 549 1.1 150 49 31.4211
-20 549 1.1 150 50 30.3316
-20 549 1.1 150 51 29.2734
-20 549 1.1 150 52 28.2445
-20 549 1.1 150 53 27.2432
-20 549 1.1 150 54 26.2677
-20 549 1.1 150 55 25.3166
-20 549 1.1 150 56 24.3883
-20 549 1.1 150 57 23.4816
-20 549 1.1 150 58 22.595
-20 549 1.1 150 59 21.7275
-20 549 1.1 150 60 20.878
-20 550 0 150 35 49.5129
-20 550 0 150 36 47.7256
-20 550 0 150 37 46.0214
-20 550 0 150 38 44.3937
-20 550 0 150 39 42.8366
-20 550 0 150 40 41.3446
-20 550 0 150 41 39.913
-20 550 0 150 42 38.5374
-20 550 0 150 43 37.2137
-20 550 0 150 44 35.9383
-20 550 0 150 45 34.7079
-20 550 0 150 46 33.5195
-20 550 0 150 47 32.3702
-20 550 0 150 48 31.2575
-20 550 0 150 49 30.179
-20 550 0 150 50 29.1327
-20 550 0 150 51 28.1163
-20 550 0 150 52 27.1281
-20 550 0 150 53 26.1664
-20 550 0 150 54 25.2296
-20 550 0 150 55 24.3161
-20 550 0 150 56 23.4245
-20 550 0 150 57 22.5536
-20 550 0 150 58 21.7021
-20 550 0 150 59 20.8689
-20 550 0 150 60 20.053
-20 550 0.1 150 35 49.7263
-20 550 0.1 150 36 47.9313
-20 550 0.1 150 37 46.2198
-20 550 0.1 150 38 44.585
-20 550 0.1 150 39 43.0212
-20 550 0.1 150 40 41.5228
-20 550 0.1 150 41 40.085
-20 550 0.1 150 42 38.7034
-20 550 0.1 150 43 37.374
-20 550 0.1 150 44 36.0931
-20 550 0.1 150 45 34.8574
-20 550 0.1 150 46 33.6638
-20 550 0.1 150 47 32.5096
-20 550 0.1 150 48 31.3921
-20 550 0.1 150 49 30.309
-20 550 0.1 150 50 29.2581
-20 550 0.1 150 51 28.2374
-20 550 0.1 150 52 27.245
-20 550 0.1 150 53 26.2791
-20 550 0.1 150 54 25.3382
-20 550 0.1 150 55 24.4207
-20 550 0.1 150 56 23.5254
-20 550 0.1 150 57 22.6507
